Method,Compression Ratio (Train),Compression Ratio (Test),Reduction Time (Train) (s),Reduction Time (Test) (s)
PCA,0.9887923407767903,0.0,0.06437563896179199,0.0149688720703125
Clustering,16787045589742.121,16787045589742.121,0.5912556648254395,0.06720113754272461
VAE,0.030033659374578095,0.030033659374578095,0.3568143844604492,0.3554074764251709
Point Cloud,1.7544926497174878,1.7692863250449644,36.28871703147888,36.69170117378235
